algorithm,alpha,mean_rmse,std_rmse
simple_memory,0.4,0.9822592609870888,0.008144513792515838
simple_memory,0.5,0.9823420290312471,0.008678051982697506
simple_memory,0.3,0.9863599205448947,0.007583519697195729
simple_memory,0.6,0.9866073251812782,0.00917243641804822
simple_memory,0.2,0.9945921073383701,0.007010833986970925
simple_memory,0.7,0.995001497253855,0.009619806322256062
simple_memory,0.8,1.0074214465288418,0.010015848483911878
simple_memory,0.0,1.0230015777416113,0.00591508654521457
simple_memory,1.0,1.0437176561595025,0.010651971107865537
